subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
2444	1.0	1.0	1.0
10637	0.0	0.5	0.5
18828	0.0	1.0	1.0
10641	0.0	0.0	0.0
2455	0.5	1.0	1.0
10648	1.0	1.0	1.0
18846	0.0	0.5	0.5
2470	1.0	1.0	1.0
2473	1.0	1.0	0.0
2476	0.5	0.5	0.5
2480	0.0	0.5	0.5
2483	0.0	0.0	0.0
10678	0.0	0.0	0.0
2490	0.5	0.0	0.5
10683	0.0	1.0	1.0
2492	0.0	0.5	0.5
2495	1.0	1.0	1.0
10694	0.0	0.5	0.5
2503	0.0	0.5	0.5
18889	0.0	1.0	1.0
10700	1.0	1.0	1.0
18896	0.5	1.0	1.0
10707	0.0	1.0	1.0
18904	0.0	0.5	0.5
10717	0.0	0.0	0.0
18913	1.0	1.0	0.5
2531	1.0	1.0	0.5
10725	0.0	0.0	0.0
10730	0.0	1.0	1.0
18923	0.0	0.5	0.5
2540	0.5	0.0	0.5
18936	0.0	0.5	0.5
10746	0.0	0.5	0.5
2558	0.0	0.0	0.0
18943	0.5	0.5	0.5
18945	0.0	1.0	1.0
10755	0.0	0.5	0.5
10757	0.0	0.5	0.5
10758	0.0	1.0	1.0
2569	0.0	0.5	0.5
2574	0.0	0.0	0.0
18968	0.5	0.5	0.5
18970	0.0	1.0	1.0
18973	0.0	1.0	1.0
2591	0.0	0.0	0.0
18978	0.0	0.5	0.5
10788	0.0	0.0	0.0
10790	0.0	0.5	0.5
2600	0.0	0.5	0.5
10794	0.0	0.0	0.0
18993	0.0	0.5	0.5
2613	0.0	1.0	1.0
10806	0.0	0.5	0.5
19003	0.0	0.0	0.0
19005	1.0	1.0	0.0
10817	1.0	0.5	1.0
10818	0.0	0.5	0.5
2633	0.0	0.0	0.0
19020	0.0	0.5	0.5
10829	0.5	0.0	0.5
19021	0.5	1.0	0.5
10832	0.0	0.0	0.0
10838	0.0	0.0	0.0
19030	0.5	1.0	1.0
19031	0.0	0.0	0.0
2666	0.0	0.5	0.5
2668	0.0	0.5	0.5
19054	0.0	0.5	0.5
2675	0.0	0.5	0.5
19066	0.0	0.5	0.5
10875	0.0	0.0	0.0
2694	1.0	1.0	1.0
2696	1.0	1.0	0.0
10894	0.5	0.0	0.5
19088	0.0	0.0	0.0
19089	0.0	0.5	0.5
2709	0.0	0.5	0.5
2712	0.0	0.0	0.0
19097	0.0	1.0	1.0
19099	0.0	0.5	0.5
2718	1.0	1.0	0.5
2720	1.0	1.0	0.5
2721	0.0	0.0	0.0
10917	0.0	0.0	0.0
10922	0.0	0.0	0.0
19116	0.0	0.5	0.5
19118	0.0	0.5	0.5
19119	0.0	0.0	0.0
2739	0.0	0.5	0.5
19124	0.0	1.0	1.0
19129	0.0	0.0	0.0
19130	0.0	1.0	1.0
2748	0.0	0.5	0.5
19135	0.5	0.0	0.5
19142	0.0	0.0	0.0
10955	0.5	0.5	0.0
10966	0.0	0.0	0.0
10967	0.0	0.0	0.0
2780	0.5	0.5	0.5
19167	0.0	0.0	0.0
10976	0.0	0.0	0.0
19171	0.5	0.5	0.5
19172	0.0	0.5	0.5
19175	0.5	0.0	0.5
10986	0.5	0.0	0.5
19182	1.0	1.0	0.0
10999	0.0	0.0	0.0
19191	1.0	0.5	1.0
2809	0.0	0.0	0.0
2812	1.0	0.0	1.0
11004	0.0	0.5	0.5
19199	0.0	0.5	0.5
2818	0.0	0.5	0.5
11017	0.5	1.0	1.0
11023	0.0	0.0	0.0
11024	0.5	1.0	0.5
19217	0.0	0.0	0.0
19222	1.0	0.0	1.0
19223	0.0	1.0	1.0
19224	0.0	1.0	1.0
2845	0.0	0.5	0.5
19230	0.0	0.0	0.0
19232	0.5	0.5	1.0
19233	0.0	0.0	0.0
2850	1.0	1.0	0.0
2853	0.0	1.0	1.0
11047	0.0	0.5	0.5
11054	0.5	1.0	0.5
2864	0.0	0.0	0.0
2870	0.0	1.0	1.0
19256	0.0	0.0	0.0
2876	0.0	0.0	0.0
19263	0.5	0.0	0.5
2892	0.0	0.0	0.0
11084	1.0	1.0	0.5
19276	0.0	1.0	1.0
11094	0.0	0.5	0.5
19295	0.0	0.5	0.5
2912	0.0	0.5	0.5
11105	0.0	0.5	0.5
2915	0.0	1.0	1.0
19300	0.5	0.5	1.0
11112	0.0	0.5	0.5
2921	0.5	0.5	0.0
19305	0.0	0.0	0.0
19308	0.0	0.5	0.5
19310	0.5	0.5	0.5
11123	0.5	1.0	1.0
19316	0.5	0.0	0.5
11131	0.0	0.5	0.5
11139	0.0	0.0	0.0
19335	0.5	1.0	0.5
11152	0.0	0.5	0.5
2962	0.0	0.5	0.5
19347	0.0	0.0	0.0
2965	0.0	0.5	0.5
11158	1.0	1.0	1.0
2968	0.5	0.5	0.5
2970	1.0	1.0	0.5
2976	0.0	0.5	0.5
19361	0.0	0.5	0.5
11172	0.0	0.0	0.0
11175	0.0	0.5	0.5
2984	0.0	0.0	0.0
19371	0.0	1.0	1.0
2990	0.0	1.0	1.0
19378	0.0	1.0	1.0
3005	0.0	1.0	1.0
3006	0.0	0.0	0.0
3010	0.5	0.0	0.5
11208	1.0	1.0	0.0
19403	1.0	1.0	0.5
3021	0.0	0.0	0.0
19409	0.0	0.5	0.5
3029	0.0	0.5	0.5
19423	1.0	1.0	0.0
3041	0.5	0.5	0.0
3042	0.0	0.0	0.0
19427	1.0	1.0	0.5
19431	0.0	0.5	0.5
3052	0.0	0.0	0.0
3055	0.5	0.5	1.0
11247	0.0	1.0	1.0
11253	0.0	0.0	0.0
3068	0.0	0.0	0.0
11261	0.0	0.5	0.5
11262	1.0	1.0	1.0
19455	0.0	0.0	0.0
3073	0.0	0.0	1.0
19457	0.0	0.5	0.5
19458	0.0	1.0	1.0
11272	0.0	0.5	0.5
19466	0.0	0.0	0.0
3084	0.0	1.0	0.5
3087	0.0	0.0	0.0
11285	1.0	1.0	0.0
3094	1.0	0.0	1.0
19484	0.5	0.0	0.5
11297	0.0	0.0	0.0
19489	0.0	0.0	0.0
19493	0.0	0.0	0.0
19494	0.0	1.0	1.0
11303	0.5	1.0	1.0
11304	0.0	1.0	1.0
11311	0.0	0.0	0.0
19504	0.0	0.5	0.5
11313	0.5	1.0	1.0
11315	0.5	0.0	0.5
19507	0.0	1.0	1.0
19509	0.0	0.0	0.0
19519	0.0	0.5	0.5
19522	0.0	0.0	0.0
