family	init-inferred-rf	init-true-rf	inferred-true-rf
PF08159	0.967948717948718	0.7371794871794872	0.9743589743589743
PF10162	0.944954128440367	0.45871559633027525	0.9541284403669725
PF18859	0.9560439560439561	0.3956043956043956	0.9340659340659341
PF03997	0.956989247311828	0.4838709677419355	0.967741935483871
PF08557	0.9	0.55	0.9333333333333333
PF00628	0.9117647058823529	0.7058823529411765	0.9117647058823529
PF07526	0.8829787234042553	0.30851063829787234	0.8936170212765957
PF11901	0.9196428571428571	0.42857142857142855	0.9107142857142857
PF23107	0.9444444444444444	0.6296296296296297	0.9444444444444444
PF12837	0.9433962264150944	0.7830188679245284	0.9528301886792453
PF01903	0.896551724137931	0.5344827586206896	0.8793103448275862
PF12554	0.98	0.68	0.96
PF11250	0.8888888888888888	0.49206349206349204	0.873015873015873
PF17391	0.9272727272727272	0.45454545454545453	0.9272727272727272
PF18055	0.9454545454545454	0.5363636363636364	0.9363636363636364
PF08614	0.8723404255319149	0.2553191489361702	0.8829787234042553
PF20590	0.9278350515463918	0.5360824742268041	0.8969072164948454
PF06844	0.9821428571428571	0.6964285714285714	0.9464285714285714
PF13892	0.9811320754716981	0.4528301886792453	0.9811320754716981
PF23349	0.9137931034482759	0.4482758620689655	0.9310344827586207
PF12473	1.0	0.48314606741573035	0.9887640449438202
PF08640	0.9540229885057471	0.5172413793103449	0.9425287356321839
PF16244	0.9591836734693877	0.5102040816326531	0.9591836734693877
PF08242	0.968421052631579	0.9368421052631579	0.9789473684210527
PF05239	0.9553571428571429	0.6160714285714286	0.9375
PF21939	0.9102564102564102	0.38461538461538464	0.8717948717948718
PF16797	0.9682539682539683	0.47619047619047616	0.9841269841269841
PF24748	0.9038461538461539	0.5384615384615384	0.9038461538461539
PF24641	0.9702970297029703	0.6831683168316832	0.9405940594059405
PF24344	0.9571428571428572	0.4	0.9642857142857143
PF15365	0.9775280898876404	0.7752808988764045	0.9438202247191011
PF17972	0.9158878504672897	0.4205607476635514	0.9158878504672897
PF20016	0.9122807017543859	0.49122807017543857	0.8947368421052632
PF19018	0.8955223880597015	0.5074626865671642	0.9253731343283582
PF02130	0.949438202247191	0.5056179775280899	0.9438202247191011
PF17919	0.9787234042553191	0.8297872340425532	0.9645390070921985
PF13094	0.9305555555555556	0.5277777777777778	0.9166666666666666
PF05433	0.9696969696969697	0.8333333333333334	0.9393939393939394
PF01982	0.9444444444444444	0.3888888888888889	0.9305555555555556
PF12838	0.9403973509933775	0.6291390728476821	0.9271523178807947
PF22262	0.8866666666666667	0.46	0.8933333333333333
PF20657	0.9056603773584906	0.4716981132075472	0.9433962264150944
PF23188	0.8987341772151899	0.5316455696202531	0.9240506329113924
PF21634	0.918918918918919	0.6036036036036037	0.9099099099099099
PF19117	0.9672131147540983	0.5573770491803278	0.9508196721311475
PF25585	0.9637681159420289	0.717391304347826	0.9710144927536232
PF08705	0.9765625	0.8125	0.9609375
PF04939	0.8796992481203008	0.45864661654135336	0.8872180451127819
PF23257	0.9717514124293786	0.632768361581921	0.9548022598870056
PF25446	0.9272727272727272	0.5636363636363636	0.9090909090909091
PF08672	0.9210526315789473	0.5657894736842105	0.8947368421052632
PF02556	0.9328358208955224	0.3208955223880597	0.9328358208955224
PF13527	0.9166666666666666	0.5416666666666666	0.875
PF05546	0.9183673469387755	0.5306122448979592	0.9387755102040817
PF09429	0.9459459459459459	0.5	0.9594594594594594
PF23359	0.8907563025210085	0.6050420168067226	0.907563025210084
PF09249	0.918918918918919	0.6081081081081081	0.9054054054054054
PF08858	0.9375	0.7291666666666666	0.875
PF19694	0.967741935483871	0.5241935483870968	0.967741935483871
PF11165	0.9333333333333333	0.6266666666666667	0.9333333333333333
PF14196	0.94	0.54	0.9
PF07911	0.9180327868852459	0.32786885245901637	0.9016393442622951
PF13622	0.9479166666666666	0.5	0.9375
PF24726	0.9402985074626866	0.44776119402985076	0.9701492537313433
PF22481	0.9457364341085271	0.7131782945736435	0.9689922480620154
PF05180	0.9354838709677419	0.46236559139784944	0.8924731182795699
PF21079	0.9733333333333334	0.56	0.9733333333333334
PF04535	0.8780487804878049	0.3902439024390244	0.8780487804878049
PF16906	0.9560439560439561	0.5164835164835165	0.9560439560439561
PF11160	0.9371069182389937	0.5723270440251572	0.9371069182389937
PF02751	0.9186046511627907	0.6046511627906976	0.9418604651162791
PF17785	0.9692307692307692	0.7153846153846154	0.9615384615384616
PF13339	0.9814814814814815	0.5617283950617284	0.9753086419753086
PF12735	0.9605263157894737	0.4342105263157895	0.9736842105263158
PF13919	0.9056603773584906	0.37735849056603776	0.9056603773584906
PF03876	0.9285714285714286	0.5982142857142857	0.9732142857142857
PF08821	0.9333333333333333	0.4266666666666667	0.9333333333333333
PF21029	0.9036144578313253	0.43373493975903615	0.9036144578313253
PF25602	0.9433962264150944	0.7169811320754716	0.9245283018867925
PF20612	0.8947368421052632	0.5614035087719298	0.9473684210526315
PF24824	0.918918918918919	0.4954954954954955	0.918918918918919
PF03562	0.9416058394160584	0.4233576642335766	0.948905109489051
