	family	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
335	PF00004	17485	0.0	0.0	0.0
336	PF00004	9311	0.0	0.5	0.5
337	PF00004	1121	0.0	0.5	0.5
338	PF00004	17507	0.0	1.0	1.0
339	PF00004	1126	0.0	1.0	1.0
340	PF00004	9324	0.0	1.0	1.0
341	PF00004	1137	0.0	1.0	1.0
342	PF00004	9334	0.0	0.5	0.5
343	PF00004	9338	0.0	0.5	0.5
344	PF00004	9340	0.0	0.0	0.0
345	PF00004	17533	0.0	0.0	0.0
346	PF00004	1151	0.0	0.0	0.0
347	PF00004	1155	0.0	0.5	0.5
348	PF00004	9349	0.0	0.0	0.0
349	PF00004	1166	0.0	0.0	0.0
350	PF00004	1168	0.0	1.0	1.0
351	PF00004	1178	0.0	0.0	0.0
352	PF00004	17564	0.0	1.0	1.0
353	PF00004	9375	0.5	1.0	1.0
354	PF00004	17569	0.0	0.0	0.0
355	PF00004	17576	0.0	1.0	1.0
356	PF00004	17583	0.0	0.5	0.5
357	PF00004	17587	1.0	0.0	1.0
358	PF00004	17590	0.0	1.0	1.0
359	PF00004	1215	0.0	0.0	0.0
360	PF00004	1219	0.5	0.0	0.5
361	PF00004	17603	0.0	0.0	0.0
362	PF00004	1230	0.0	1.0	1.0
363	PF00004	1240	0.5	0.5	0.0
364	PF00004	1241	0.0	0.5	0.5
365	PF00004	17626	0.0	0.0	0.0
366	PF00004	9436	0.0	1.0	1.0
367	PF00004	9440	0.0	0.0	0.0
368	PF00004	1249	0.0	0.5	0.5
369	PF00004	17634	0.0	0.5	0.5
370	PF00004	1253	0.0	0.0	0.0
371	PF00004	9447	0.0	0.0	0.0
372	PF00004	17641	0.0	1.0	1.0
373	PF00004	17650	0.0	0.5	0.5
374	PF00004	17651	0.0	0.0	0.0
375	PF00004	1268	0.0	0.0	0.0
376	PF00004	9462	0.0	0.5	0.5
377	PF00004	17659	0.0	0.5	0.5
378	PF00004	17661	0.0	1.0	1.0
379	PF00004	1280	0.5	0.5	0.0
380	PF00004	9473	0.0	0.0	0.0
381	PF00004	9475	0.0	0.5	0.5
382	PF00004	1287	0.0	1.0	1.0
383	PF00004	17675	0.0	1.0	1.0
384	PF00004	17676	0.0	0.0	0.0
385	PF00004	17681	0.0	0.5	0.5
386	PF00004	1301	0.0	0.0	0.0
387	PF00004	17686	0.0	0.0	0.0
388	PF00004	1305	0.0	0.5	0.5
389	PF00004	1307	0.5	0.0	0.5
390	PF00004	9500	0.0	1.0	1.0
391	PF00004	17693	0.0	0.0	0.0
392	PF00004	9504	0.0	1.0	1.0
393	PF00004	1313	0.0	0.0	0.0
394	PF00004	1317	0.0	0.5	0.5
395	PF00004	9511	0.0	0.0	0.0
396	PF00004	1325	0.0	0.0	0.0
397	PF00004	9517	0.0	1.0	1.0
398	PF00004	9520	0.0	0.0	0.0
399	PF00004	9522	0.0	0.5	0.5
400	PF00004	17716	0.5	1.0	1.0
401	PF00004	9525	0.0	0.0	0.0
402	PF00004	17718	0.0	1.0	1.0
403	PF00004	1342	0.0	0.0	0.0
404	PF00004	1343	0.0	0.5	0.5
405	PF00004	17728	0.0	0.5	0.5
406	PF00004	9541	0.0	0.0	0.0
407	PF00004	1354	0.0	1.0	1.0
408	PF00004	9551	0.0	1.0	1.0
409	PF00004	9557	0.0	0.5	0.5
410	PF00004	17750	0.5	0.0	0.5
411	PF00004	1368	0.0	1.0	1.0
412	PF00004	17765	0.0	0.5	0.5
413	PF00004	1383	0.0	0.5	0.5
414	PF00004	9577	0.0	0.5	0.5
415	PF00004	17771	0.0	0.0	0.0
416	PF00004	17772	0.0	0.5	0.5
417	PF00004	9581	0.0	0.0	0.0
418	PF00004	1390	0.0	1.0	1.0
419	PF00004	17773	0.0	0.5	0.5
420	PF00004	17774	0.0	0.0	0.0
