family	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
PF00004	16851	0.9166666666666666	0.9375	0.5208333333333334
PF00004	8660	0.8958333333333334	0.9166666666666666	0.5416666666666666
PF00004	8663	0.8958333333333334	0.9166666666666666	0.3958333333333333
PF00004	8667	0.8125	0.8333333333333334	0.5416666666666666
PF00004	482	0.8333333333333334	0.875	0.5208333333333334
PF00004	16867	0.8333333333333334	0.8333333333333334	0.5625
PF00004	489	0.8333333333333334	0.8958333333333334	0.5416666666666666
PF00004	8681	0.875	0.9166666666666666	0.5
PF00004	8692	0.8541666666666666	0.875	0.5
PF00004	503	0.8541666666666666	0.9375	0.625
PF00004	505	0.8958333333333334	0.9166666666666666	0.5625
PF00004	8703	0.8541666666666666	0.875	0.5208333333333334
PF00004	16897	0.8958333333333334	0.875	0.4583333333333333
PF00004	8706	0.8958333333333334	0.8958333333333334	0.5416666666666666
PF00004	515	0.9166666666666666	0.9166666666666666	0.375
PF00004	8712	0.7916666666666666	0.8333333333333334	0.5208333333333334
PF00004	8713	0.8333333333333334	0.875	0.5625
PF00004	16908	0.8541666666666666	0.875	0.5625
PF00004	8717	0.875	0.8958333333333334	0.6458333333333334
PF00004	526	0.8541666666666666	0.8958333333333334	0.3958333333333333
PF00004	527	0.9375	0.9583333333333334	0.5833333333333334
PF00004	8718	0.7708333333333334	0.8541666666666666	0.4375
PF00004	530	0.9375	0.9583333333333334	0.4791666666666667
PF00004	16921	0.9583333333333334	0.9166666666666666	0.5208333333333334
PF00004	16922	0.8125	0.8958333333333334	0.5833333333333334
PF00004	540	0.8541666666666666	0.8958333333333334	0.5208333333333334
PF00004	8735	0.75	0.8333333333333334	0.5
PF00004	546	0.9166666666666666	0.9166666666666666	0.5625
PF00004	553	0.8958333333333334	0.9583333333333334	0.6458333333333334
PF00004	16941	0.8541666666666666	0.8333333333333334	0.4791666666666667
PF00004	16944	0.8333333333333334	0.8541666666666666	0.3958333333333333
PF00004	561	0.9375	0.9375	0.5625
PF00004	8755	0.9166666666666666	0.8958333333333334	0.375
PF00004	8756	0.9166666666666666	0.9166666666666666	0.5
PF00004	570	0.875	0.8958333333333334	0.5208333333333334
PF00004	572	0.8958333333333334	0.8958333333333334	0.5625
PF00004	16959	0.9375	0.9166666666666666	0.5625
PF00004	16960	0.8541666666666666	0.8958333333333334	0.4791666666666667
PF00004	16965	0.8958333333333334	0.9166666666666666	0.5
PF00004	16968	0.875	0.9166666666666666	0.5
PF00004	8783	0.875	0.9375	0.5208333333333334
PF00004	8784	0.9166666666666666	0.9375	0.4791666666666667
PF00004	8788	0.875	0.8958333333333334	0.6666666666666666
PF00004	8793	0.8958333333333334	0.9166666666666666	0.375
PF00004	16985	0.875	0.875	0.5625
PF00004	8796	0.8125	0.8958333333333334	0.5416666666666666
PF00004	16991	0.8541666666666666	0.8958333333333334	0.5
PF00004	8801	0.875	0.9375	0.5208333333333334
PF00004	615	0.9166666666666666	0.9583333333333334	0.4375
PF00004	8809	0.8958333333333334	0.875	0.5833333333333334
PF00004	620	0.8958333333333334	0.9166666666666666	0.3958333333333333
PF00004	8821	0.875	0.8958333333333334	0.5833333333333334
PF00004	630	0.9166666666666666	0.9166666666666666	0.5625
PF00004	17015	0.9166666666666666	0.8958333333333334	0.4791666666666667
PF00004	633	0.875	0.8958333333333334	0.5416666666666666
PF00004	17019	0.9166666666666666	0.9583333333333334	0.5625
PF00004	17020	0.9375	0.9375	0.5208333333333334
